Country,Summary.of.the.I.NDC,country_code,size,year,old_year,Type,ratio,
Sri Lanka," Sri Lanka commits to increase 32% forest cover by 2030 and reduce greenhouse gas emissions by 14.5% for the period of 2021-2030 from Power (electricity generation), Transport, Industry, Waste, Forestry, and Agriculture ",LKA,14.5,2030,2020,BAU,NA,
Sudan,To reach 20% renewable share in the power mix by 2030. Includes detailed per-technology aims and targets for energy efficiency. Aims to raise forest area to 25% of Sudan by 2030. Includes section on adaptation. Pledge conditional on international support.,SDN,,2030,,,,
Suriname,"To introduce and distribute renewable energy to coastal and interior villages that rely on fossil fuels. Up-front costs will require international support but will reduce annual energy costs. To conserve forest resources and, by 2020, to fully protect mangroves. Includes section on adaptation.",SUR,,2030,,,,
Swaziland,"Aims to double the renewable share of its energy mix by 2030, compared to 2010 levels. Also pledges to develop a national emissions inventory, baseline and business as usual projections, in order to draw up a national mitigation goal by 2020. Aims to develop a national adaptation plan by 2020.",SWZ,,2030,,,,
Switzerland,Switzerland expresses its NDC both as single-year and multi-year target. The reduction target of at least minus 50 percent by 2030 compared with 1990 levels corresponds to an average reduction of at least minus 35 percent over the period 2021-2030.,CHE,50,2030,1990,Emission,,
Syria,INDC not yet submitted,SYR,,2030,,,,
Tajikistan,"Pledges to not exceed 80-90% of 1990 levels by 2030 as an unconditional target, accompanied by a conditional target to not exceed 65-75% of 1990 levels subject to international funding. Also includes conditional and unconditional sections on adaptation.",TJK,10,2030,1990,Emission,,
Tanzania,"A 10-20% cut in emissions by 2030, compared to business as usual. The level of ambition depends on how much international support is available. Includes section on adaptation.",TZA,10,2030,2015,BAU,-30.1,
Thailand,"Thailand intends to reduce its greenhouse gas emissions by 30 percent from the projected business-as-usual (BAU) level by 2030. The level of contribution could increase up to 40 percent, subject to adequate and enhanced access to technology development and transfer, financial resources and capacity building support. ",THA,30,2030,2015,BAU,-37.4,
Timor-Leste,"Sets out a series of mitigation options, including use of renewables to electrify rural areas and energy efficiency to reduce fossil fuel use for cookstoves. Requires international support.",TLS,,2030,,,,
Togo,"An unconditional reduction of 11.14% by 2030, compared to 2010 levels, rising to 31.14% on the condition of international support. Includes section on adaptation.",TGO,11.14,2030,2010,Emission,,
Tonga,"Pledges to generate 70% of electricity from renewables by 2030, and improve energy efficiency by reducing electricity line losses to 9% from 18% by 2020. Has yet to calculate the emissions benefits of these actions.",TON,,2030,,,,
Trinidad and Tobago,"By 2030, an unconditional 30% reduction in business-as-usual CO2, methane and nitrous oxide emissions from transport, power and industry. A conditional 45% reduction is also on the table.",TTO,30,2030,2013,BAU,-117.6,
Tunisia,"La CDN actualisée rehausse les ambitions d’atténuation des émissions de gaz à effet de serre de la Tunisie1, à travers un relèvement de l’objectif de réduction de l’intensité carbone nationale2 à 45% à l’horizon 20303, par rapport à son niveau de 2010. ",TUN,45,2030,2010,Intensity,,
Turkey,Türkiye confirms to reduce its greenhouse gas (GHG) emissions by 41% through 2030 (695 Mt CO2 eq in year 2030) compared to the Business as Usual (BAU) scenario given in Türkiye’s first NDC (also INDC) considering 2012 as the base year (reference year).,TUR,41,2030,2012,BAU,-116,
Turkmenistan,"With ﾒcertain international supportﾓ, pledges to achieve zero growth in emissions, or even reduce emissions, by 2030. Aims to achieve this ﾒprimarilyﾓ through domestic resources. Includes section on adaptation.",TKM,0,2030,2000,Emission,,
Tuvalu,"Pledges to reduce greenhouse gas emissions from the electricity sector by 100% by 2025, and to reduce emissions from the energy sector overall by 60%. Emissions from other sectors, such as agriculture and waste, will also be reduced dependent on the necessary finance and technology.",TUV,,2030,,,,
Uganda,"Uganda presents an ambitious economy-wide mitigation target in 2030 of 24.7% reduction below the Business As Usual (BAU), a progression from the 22% reduction target communicated in the first NDC in 2016.",UGA,24.7,2030,2000,BAU,-65.2,
Ukraine,"Ukraine has committed itself to achieving the target of reducing GHG emissions of 65% by 2030, compared  to 1990 (including LULUCF), reaching carbon neutrality until 2060 as foreseen in the National Economic Strategy until 2030",UKR,65,2030,1990,Emission,,
United Arab Emirates,"Despite sustained economic and population growth, this target represents an absolute GHG emissions reduction of 19% by 2030 relative to 2019.",ARE,19,2030,2019,Emission,,
Uruguay,"Expects to become a net CO2 sink by 2030. An unconditional 25% cut in emissions per unit of GDP by 2030, compared to 1990 levels, or a 40% cut conditional on international support. Other sectoral targets include scaling up emissions removals through land and forestry, while reducing the emissions intensity of power production, beef and waste. Includes section on adaptation.",URY,25,2030,1990,Intensity,,
USA,the United States is setting an economy-wide target of reducing its net greenhouse gas emissions by 50-52 percent below 2005 levels in 2030.,USA,50,2030,2005,Emission,,
Uzbekistan,"A 10% cut in emissions per unit of GDP by 2030, compared to 2010 levels. ""Envisages"" international support. Includes section on adaptation.",UZB,35,2030,2010,Emission,,
Vanuatu,"Moving to 65% renewable energy use by 2020 and nearly 100% renewable electricity by 2030, reducing energy emissions by 30% in 2030 compared to business as usual. The target is conditional on at least $180m in external funding. Energy efficiency, forestry mitigation and other possible efforts are listed. Includes section on adaptation.",VUT,,2030,,,,
Venezuela,"A reduction in emissions by 2030 of ""at least 20%"" relative to business-as-usual projections, conditional on international support. Includes plans to reduce flaring in the oil and gas industry and to phase out ozone-depleting greenhouse gases.",VEN,20,2030,2011,BAU,-32.7,
Viet Nam,The ratio of emission reduction compared to BAU in NDC 2022 is 15.8% compared to 9% in NDC 2020 (that of additional reduction is 6.8% compared to BAU). ,VNM,15.8,2030,2010,BAU,-193.5,
Yemen,"A 1% emissions cut by 2030 compared to business as usual projections, or a 14% cut conditional on international support. Conditional pledge would include 15% of power coming from renewables by 2025. Includes section on adaptation.",YEM,1,2030,2010,BAU,-79.3,
Zambia,"An unconditional 25% emissions cut in 2030, compared to business as usual, equivalent to holding emissions steady. A higher 47% reduction against business as usual emissions is conditional on international support. Includes section on adaptation.",ZMB,25,2030,2010,BAU,0,
Zimbabwe,An emission reduction from 33% in the first NDC to 40% in this revised NDC.,ZWE,40,2030,2010,BAU,-208.4,
